CSISO84PORTUGUESE2  fail: CSISO84PORTUGUESE2
CSISO85SPANISH2  fail: CSISO85SPANISH2
CSISO86HUNGARIAN  fail: CSISO86HUNGARIAN
CSISO88GREEK7  fail: CSISO88GREEK7
CSISO89ASMO449  fail: CSISO89ASMO449
CSISO90  fail: CSISO90
CSISO92JISC62991984B  fail: CSISO92JISC62991984B
CSISO99NAPLPS  fail: CSISO99NAPLPS
CSISOLATIN1  ok: CSISOLATIN1
CSISOLATIN2  ok: CSISOLATIN2
CSISOLATIN3  fail: CSISOLATIN3
CSISOLATIN4  ok: CSISOLATIN4
CSISOLATIN5  ok: CSISOLATIN5
CSISOLATIN6  ok: CSISOLATIN6
CSISOLATINARABIC  fail: CSISOLATINARABIC
CSISOLATINCYRILLIC  ok: CSISOLATINCYRILLIC
CSISOLATINGREEK  fail: CSISOLATINGREEK
CSISOLATINHEBREW  fail: CSISOLATINHEBREW
CSKOI8R  ok: CSKOI8R
CSKSC5636  fail: CSKSC5636
CSMACINTOSH  ok: CSMACINTOSH
CSN_369103  ok: CSN_369103
CSNATSDANO  fail: CSNATSDANO
CSNATSSEFI  fail: CSNATSSEFI
CSPC775BALTIC  ok: CSPC775BALTIC
CSPC850MULTILINGUAL  ok: CSPC850MULTILINGUAL
CSPC862LATINHEBREW  ok: CSPC862LATINHEBREW
CSPC8CODEPAGE437  ok: CSPC8CODEPAGE437
CSPCP852  ok: CSPCP852
CSSHIFTJIS  fail: CSSHIFTJIS
CSUCS4  fail: CSUCS4
CSUNICODE  fail: CSUNICODE
CSWINDOWS31J  fail: CSWINDOWS31J
CUBA  fail: CUBA
CWI  ok: CWI
CWI-2  ok: CWI-2
CYRILLIC  ok: CYRILLIC
DE  fail: DE
DEC  fail: DEC
DECMCS  fail: DECMCS
DEC-MCS  fail: DEC-MCS
DIN_66003  fail: DIN_66003
DK  fail: DK
DS2089  fail: DS2089
DS_2089  fail: DS_2089
E13B  fail: E13B
EBCDICATDE  fail: EBCDICATDE
EBCDIC-AT-DE  fail: EBCDIC-AT-DE
EBCDICATDEA  fail: EBCDICATDEA
EBCDIC-AT-DE-A  fail: EBCDIC-AT-DE-A
EBCDIC-BE  fail: EBCDIC-BE
EBCDIC-BR  fail: EBCDIC-BR
EBCDICCAFR  fail: EBCDICCAFR
EBCDIC-CA-FR  fail: EBCDIC-CA-FR
EBCDIC-CP-AR1  fail: EBCDIC-CP-AR1
EBCDIC-CP-AR2  fail: EBCDIC-CP-AR2
EBCDIC-CP-BE  ok: EBCDIC-CP-BE
EBCDIC-CP-CA  ok: EBCDIC-CP-CA
EBCDIC-CP-CH  ok: EBCDIC-CP-CH
EBCDIC-CP-DK  ok: EBCDIC-CP-DK
EBCDIC-CP-ES  ok: EBCDIC-CP-ES
EBCDIC-CP-FI  ok: EBCDIC-CP-FI
EBCDIC-CP-FR  ok: EBCDIC-CP-FR
EBCDIC-CP-GB  ok: EBCDIC-CP-GB
EBCDIC-CP-GR  fail: EBCDIC-CP-GR
EBCDIC-CP-HE  fail: EBCDIC-CP-HE
EBCDIC-CP-IS  ok: EBCDIC-CP-IS
EBCDIC-CP-IT  ok: EBCDIC-CP-IT
EBCDIC-CP-NL  ok: EBCDIC-CP-NL
EBCDIC-CP-NO  ok: EBCDIC-CP-NO
EBCDIC-CP-ROECE  ok: EBCDIC-CP-ROECE
EBCDIC-CP-SE  ok: EBCDIC-CP-SE
EBCDIC-CP-TR  fail: EBCDIC-CP-TR
EBCDIC-CP-US  ok: EBCDIC-CP-US
EBCDIC-CP-WT  ok: EBCDIC-CP-WT
EBCDIC-CP-YU  ok: EBCDIC-CP-YU
EBCDIC-CYRILLIC  fail: EBCDIC-CYRILLIC
EBCDICDKNO  fail: EBCDICDKNO
EBCDIC-DK-NO  fail: EBCDIC-DK-NO
EBCDICDKNOA  fail: EBCDICDKNOA
EBCDIC-DK-NO-A  fail: EBCDIC-DK-NO-A
EBCDICES  fail: EBCDICES
EBCDIC-ES  fail: EBCDIC-ES
EBCDICESA  fail: EBCDICESA
EBCDIC-ES-A  fail: EBCDIC-ES-A
EBCDICESS  fail: EBCDICESS
EBCDIC-ES-S  fail: EBCDIC-ES-S
EBCDICFISE  fail: EBCDICFISE
EBCDIC-FI-SE  fail: EBCDIC-FI-SE
EBCDICFISEA  fail: EBCDICFISEA
EBCDIC-FI-SE-A  fail: EBCDIC-FI-SE-A
EBCDICFR  fail: EBCDICFR
EBCDIC-FR  fail: EBCDIC-FR
EBCDIC-GREEK  fail: EBCDIC-GREEK
EBCDIC-INT  fail: EBCDIC-INT
EBCDIC-INT1  ok: EBCDIC-INT1
EBCDICISFRISS  fail: EBCDICISFRISS
EBCDIC-IS-FRISS  fail: EBCDIC-IS-FRISS
EBCDICIT  fail: EBCDICIT
EBCDIC-IT  fail: EBCDIC-IT
EBCDIC-JP-E  fail: EBCDIC-JP-E
